country,state,city,station,last_update,latitude,longitude,pollutant_id,min_value,max_value,avg_value
India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB",08-12-2025 08:00:00,28.206800,76.799700,SO2,2,10,7
India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB",08-12-2025 08:00:00,28.206800,76.799700,CO,24,57,41
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB",08-12-2025 08:00:00,28.39072,77.30059,OZONE,26,34,31
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM",08-12-2025 08:00:00,23.243639,72.68994,SO2,4,9,6
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB",08-12-2025 08:00:00,22.969611,72.643500,PM2.5,60,146,92
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB",08-12-2025 08:00:00,22.969611,72.643500,PM10,67,127,92
India,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB",08-12-2025 08:00:00,28.806223,76.141105,OZONE,10,19,14
India,Haryana,Charkhi Dadri,"Mini Secretariat, Charkhi Dadri - HSPCB",08-12-2025 08:00:00,28.593883,76.270653,PM10,109,173,146
India,Haryana,Charkhi Dadri,"Mini Secretariat, Charkhi Dadri - HSPCB",08-12-2025 08:00:00,28.593883,76.270653,SO2,10,11,10
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB",08-12-2025 08:00:00,21.613267,73.010555,OZONE,38,43,39
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM",08-12-2025 08:00:00,23.243639,72.68994,NO2,7,8,7
India,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB",08-12-2025 08:00:00,30.379589,76.778328,CO,98,101,100
India,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB",08-12-2025 08:00:00,28.806223,76.141105,NO2,2,36,31
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",08-12-2025 08:00:00,23.002657,72.591912,NO2,63,64,63
India,Karnataka,Davanagere,"Devaraj Urs Badavane, Davanagere - KSPCB",08-12-2025 08:00:00,14.475800,75.905200,NO2,20,30,26
